unix,low,high,open,close,volume,date,vol_fiat
1648944000,45552.07,47469.4,45826.24,46422.16,8773.77185888,2022-04-03,407297441.0364248
1648857600,45642.89,47219.46,46296.36,45826.27,8380.14274375,2022-04-02,384030684.0136283
1648771200,44232.86,46739.24,45525.25,46296.34,18111.13598043,2022-04-01,838479309.1362206
1648684800,45211.0,47624.09,47078.02,45528.45,17454.79144251,2022-03-31,794689599.4507443
1648598400,46544.89,47717.01,47448.41,47078.03,12672.44584707,2022-03-30,596593785.7617369
1648512000,46589.0,48124.94,47146.92,47454.19,15776.65108647,2022-03-29,748668198.2210538
1648425600,46662.28,48240.0,46850.01,47144.92,18787.66318707,2022-03-28,885742877.9413601
1648339200,44437.22,46950.0,44538.21,46850.01,10356.10317002,2022-03-27,485183537.0764687
1648252800,44091.09,44820.58,44336.19,44539.42,7305.17827992,2022-03-26,325368403.5842344
1648166400,43605.8,45130.91,44012.36,44331.85,19128.13735444,2022-03-25,847985715.9764309
1648080000,42627.48,44241.0,42899.71,44012.29,21827.93263859,2022-03-24,960697301.3900882
1647993600,41766.79,43036.95,42376.03,42899.71,13745.27563632,2022-03-23,589668338.6681935
1647907200,40885.19,43389.79,41017.7,42378.26,19913.28660924,2022-03-22,843890437.3808912
1647820800,40509.0,41578.33,41287.24,41017.71,10996.47661055,2022-03-21,451050288.63332283
1647734400,40918.72,42330.1,42232.05,41287.24,7621.03036678,2022-03-20,314651309.8005339
1647648000,41534.89,42429.0,41781.37,42232.26,8630.97283924,2022-03-19,364505488.9997219
1647561600,40130.0,42396.04,40950.23,41774.98,17181.15226772,2022-03-18,717742292.3609577
1647475200,40521.0,41486.0,41127.96,40950.33,15717.77421989,2022-03-17,643648041.169988
1647388800,38850.0,41717.67,39298.11,41127.97,22805.48259593,2022-03-16,937943204.0409312
1647302400,38135.0,39900.0,39678.51,39298.1,14924.67641882,2022-03-15,586511426.3744302
1647216000,37560.4,39906.39,37793.4,39674.17,13566.81093809,2022-03-14,538251963.5156422
1647129600,37580.86,39318.19,38815.56,37793.01,8046.37612453,2022-03-13,304096773.33812356
1647043200,38654.02,39472.17,38732.33,38813.02,5644.14686801,2022-03-12,219066385.27100947
1646956800,38234.08,40251.51,39431.4,38732.04,15908.57521389,2022-03-11,616171571.5273961
1646870400,38560.85,42053.84,41949.28,39433.71,20814.01456026,2022-03-10,820773814.1050704
1646784000,38655.98,42597.84,38749.16,41953.97,24651.67344036,2022-03-09,1034235567.9666601
1646697600,37851.54,39376.65,37991.05,38749.38,19132.76914326,2022-03-08,741382941.9844562
1646611200,37161.88,39556.58,38406.82,37994.0,19544.28414901,2022-03-07,742565531.9574859
1646524800,38091.02,39730.5,39407.87,38408.38,10099.98545246,2022-03-06,387924079.25255555
1646438400,38587.27,39600.0,39166.5,39402.43,8440.51638896,2022-03-05,332576856.1798492
1646352000,38577.01,42524.87,42464.41,39166.51,24080.60599433,2022-03-04,943153295.4829859
1646265600,41811.0,44096.45,43916.47,42464.41,19278.28224695,2022-03-03,818640881.4302061
1646179200,43342.16,45426.45,44440.0,43912.34,17466.98591437,2022-03-02,767016224.2470263
1646092800,42850.0,44993.12,43189.61,44439.95,22596.96095342,2022-03-01,1004207814.921937
1646006400,37455.71,44240.77,37716.57,43192.66,25699.68423401,2022-02-28,1110037723.2269545
1645920000,37020.0,39875.71,39146.97,37717.08,14440.23638182,2022-02-27,544643550.8320155
1645833600,38592.04,40300.5,39242.71,39137.8,8601.67109728,2022-02-26,336650483.07112515
1645747200,38016.44,39716.0,38347.3,39238.48,20761.66924479,2022-02-25,814656343.4283075
1645660800,34322.0,39720.0,37268.18,38347.3,42124.51876077,2022-02-24,1615361558.2748754
1645574400,37055.0,39276.85,38251.67,37268.19,15510.11329997,2022-02-23,578033849.384809
